year,month,region,province,thai_visitors,foreign_visitors,income_from_thai_visitors,income_from_foreign_visitors
2563,กุมภาพันธ์,ภาคเหนือ,นครสวรรค์,152429.00,6018.00,286.03,8.43
2563,กุมภาพันธ์,ภาคเหนือ,ตาก,189857.00,4362.00,541.98,15.87
2563,กุมภาพันธ์,ภาคเหนือ,พิษณุโลก,276914.00,18499.00,702.62,59.70
2563,กุมภาพันธ์,ภาคเหนือ,พะเยา,53537.00,2475.00,99.99,3.39
2563,กุมภาพันธ์,ภาคเหนือ,เพชรบูรณ์,174458.00,1570.00,603.99,4.42
2563,กุมภาพันธ์,ภาคเหนือ,แพร่,56343.00,7547.00,112.13,27.50
2563,กุมภาพันธ์,ภาคเหนือ,ลำปาง,78082.00,9205.00,205.67,45.88
2563,กุมภาพันธ์,ภาคเหนือ,ลำพูน,79719.00,4667.00,122.48,9.01
2563,กุมภาพันธ์,ภาคเหนือ,แม่ฮ่องสอน,74330.00,21877.00,278.79,170.69
2563,กุมภาพันธ์,ภาคเหนือ,อุตรดิตถ์,90504.00,765.00,185.41,1.75
2563,กุมภาพันธ์,ภาคเหนือ,อุทัยธานี,72761.00,256.00,119.21,0.90
2563,กุมภาพันธ์,ภาคเหนือ,สุโขทัย,75373.00,37829.00,143.10,126.21
2563,กุมภาพันธ์,ภาคเหนือ,น่าน,84997.00,2251.00,245.99,10.83
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,55963.00,394.00,82.70,0.91
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,406262.00,5738.00,1310.10,19.09
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,66384.00,417.00,89.29,1.10
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,นครพนม,104503.00,4634.00,227.46,6.36
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,728203.00,19298.00,1840.47,91.68
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,133846.00,3159.00,277.18,5.28
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,43150.00,946.00,69.00,1.30
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,159435.00,11061.00,286.72,26.19
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,66255.00,612.00,89.36,1.29
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,เลย,153612.00,1791.00,344.80,6.87
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,147936.00,1838.00,223.94,4.93
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,สุรินทร์,91310.00,2517.00,218.08,8.78
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,หนองคาย,137915.00,53343.00,333.65,77.85
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,43335.00,166.00,91.67,0.42
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,อุดรธานี,224242.00,14334.00,570.28,70.44
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,213551.00,14520.00,666.16,69.98
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,สกลนคร,89989.00,267.00,187.10,0.89
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,ยโสธร,44114.00,1416.00,56.00,3.21
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,18394.00,732.00,28.57,1.66
2563,กุมภาพันธ์,ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,30309.00,114.00,31.34,0.17
2563,มีนาคม,ภาคกลาง,กรุงเทพมหานคร,816815.00,367884.00,6403.18,8337.67
2563,มีนาคม,ภาคกลาง,ลพบุรี,78385.00,408.00,138.05,0.92
2563,มีนาคม,ภาคกลาง,พระนครศรีอยุธยา,55179.00,8418.00,105.72,18.12
2563,มีนาคม,ภาคกลาง,สระบุรี,38758.00,598.00,65.09,1.21
2563,มีนาคม,ภาคกลาง,ชัยนาท,10227.00,68.00,13.05,0.11
2563,มีนาคม,ภาคกลาง,นครปฐม,76549.00,493.00,108.41,0.69
2563,มีนาคม,ภาคกลาง,สิงห์บุรี,13887.00,59.00,18.84,0.09
2563,มีนาคม,ภาคกลาง,อ่างทอง,13463.00,43.00,16.44,0.05
2563,มีนาคม,ภาคกลาง,นนทบุรี,37510.00,2704.00,48.04,8.24
2563,มีนาคม,ภาคกลาง,ปทุมธานี,15908.00,1954.00,19.56,3.25
2563,มีนาคม,ภาคกลาง,สมุทรปราการ,45861.00,9330.00,62.86,20.18
2563,มีนาคม,ภาคกลาง,สมุทรสาคร,19531.00,19.00,31.77,0.03
2563,มีนาคม,ภาคกลาง,ฉะเชิงเทรา,40848.00,74.00,46.01,0.09
2563,มีนาคม,ภาคตะวันตก,ราชบุรี,70692.00,468.00,124.99,0.94
2563,มีนาคม,ภาคตะวันตก,กาญจนบุรี,275342.00,11067.00,842.03,64.33
2563,มีนาคม,ภาคตะวันตก,สมุทรสงคราม,60576.00,1754.00,94.00,3.28
2563,มีนาคม,ภาคตะวันตก,สุพรรณบุรี,75601.00,633.00,156.84,0.92
2563,มีนาคม,ภาคตะวันตก,เพชรบุรี,219100.00,11738.00,510.20,85.73
2563,มีนาคม,ภาคตะวันตก,ประจวบคีรีขันธ์,194789.00,11542.00,824.34,125.85
2563,มีนาคม,ภาคตะวันออก,ชลบุรี,360208.00,75677.00,1898.13,1832.90
2563,มีนาคม,ภาคตะวันออก,จันทบุรี,79361.00,66.00,227.01,0.45
2563,มีนาคม,ภาคตะวันออก,ตราด,51632.00,20585.00,289.69,299.63
2563,มีนาคม,ภาคตะวันออก,นครนายก,127459.00,152.00,371.71,0.37
2563,มีนาคม,ภาคตะวันออก,ปราจีนบุรี,64843.00,1882.00,183.05,5.89
2563,มีนาคม,ภาคตะวันออก,ระยอง,202335.00,13066.00,616.26,85.57
2563,มีนาคม,ภาคตะวันออก,สระแก้ว,64282.00,862.00,190.61,2.51
2563,มีนาคม,ภาคใต้,ภูเก็ต,294931.00,95126.00,3374.03,3865.28
2563,มีนาคม,ภาคใต้,พัทลุง,37577.00,69.00,53.78,0.19
2563,มีนาคม,ภาคใต้,ตรัง,48134.00,3410.00,296.17,29.98
2563,มีนาคม,ภาคใต้,ระนอง,32359.00,829.00,94.72,5.41
2563,มีนาคม,ภาคใต้,ชุมพร,38927.00,2246.00,155.21,10.73
2563,มีนาคม,ภาคใต้,ปัตตานี,12062.00,84.00,44.26,0.36
2563,มีนาคม,ภาคใต้,ยะลา,2358.00,21931.00,9.39,99.32
2563,มีนาคม,ภาคใต้,นครศรีธรรมราช,129239.00,3783.00,438.99,12.66
2563,มีนาคม,ภาคใต้,นราธิวาส,11675.00,15791.00,27.58,67.39
2563,มีนาคม,ภาคใต้,กระบี่,142746.00,18983.00,1943.69,449.54
2563,มีนาคม,ภาคใต้,สงขลา,150759.00,53855.00,948.13,636.40
2563,มีนาคม,ภาคใต้,พังงา,42625.00,21390.00,235.76,301.55
2563,มีนาคม,ภาคใต้,สุราษฎร์ธานี,89211.00,43863.00,601.16,1072.76
2563,มีนาคม,ภาคใต้,สตูล,43385.00,4514.00,319.93,21.29
